<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026-03-02	01:00:00	5363.14	5379.37	5302.81	5347.82	8374	0	4
2026-03-02	01:15:00	5347.8	5358.65	5343.87	5354.92	9675	0	4
2026-03-02	01:30:00	5354.92	5393.5	5352.95	5382.37	9358	0	4
2026-03-02	01:45:00	5382.36	5390.99	5373.96	5387.07	9107	0	4
2026-03-02	02:00:00	5387.07	5388.28	5364.13	5376.0	10971	0	4
2026-03-02	02:15:00	5376.0	5376.12	5348.98	5364.57	10017	0	4
2026-03-02	02:30:00	5364.61	5373.49	5359.28	5365.22	7966	0	4
2026-03-02	02:45:00	5365.22	5366.49	5340.88	5347.45	8079	0	4
2026-03-02	03:00:00	5347.34	5347.58	5316.01	5340.38	14519	0	4
2026-03-02	03:15:00	5340.36	5346.23	5303.15	5307.66	12394	0	4
2026-03-02	03:30:00	5307.67	5339.11	5305.8	5333.51	12186	0	4
2026-03-02	03:45:00	5333.51	5338.16	5322.11	5325.04	10114	0	4
2026-03-02	04:00:00	5325.04	5335.54	5316.79	5328.16	9533	0	4
2026-03-02	04:15:00	5328.43	5336.25	5326.28	5331.26	6325	0	4
2026-03-02	04:30:00	5331.26	5351.67	5328.09	5351.01	7478	0	4
2026-03-02	04:45:00	5350.55	5351.83	5340.86	5346.5	6416	0	4
2026-03-02	05:00:00	5346.5	5357.53	5344.33	5355.15	7324	0	4
2026-03-02	05:15:00	5355.15	5359.54	5349.69	5355.63	5950	0	4
2026-03-02	05:30:00	5355.63	5365.0	5353.61	5362.06	4895	0	4
2026-03-02	05:45:00	5362.16	5366.91	5359.76	5366.49	3681	0	4
2026-03-02	06:00:00	5366.49	5367.23	5355.61	5356.06	4516	0	4
2026-03-02	06:15:00	5356.06	5366.07	5355.87	5363.43	3695	0	4
2026-03-02	06:30:00	5363.43	5364.5	5345.23	5354.17	5012	0	4
2026-03-02	06:45:00	5354.16	5358.45	5350.8	5355.96	3585	0	4
2026-03-02	07:00:00	5355.96	5356.08	5345.66	5350.15	5418	0	4
2026-03-02	07:15:00	5350.15	5354.23	5340.62	5350.86	4437	0	4
2026-03-02	07:30:00	5350.86	5363.7	5348.85	5360.6	6722	0	4
2026-03-02	07:45:00	5360.78	5366.33	5359.31	5366.11	5616	0	4
2026-03-02	08:00:00	5366.11	5380.06	5363.5	5375.11	5590	0	4
2026-03-02	08:15:00	5375.11	5381.41	5373.71	5380.71	5985	0	4
2026-03-02	08:30:00	5380.71	5383.0	5374.28	5375.66	6174	0	4
2026-03-02	08:45:00	5375.65	5389.88	5375.64	5387.57	5517	0	4
2026-03-02	09:00:00	5387.57	5406.9	5384.93	5406.03	5972	0	4
2026-03-02	09:15:00	5406.03	5419.26	5404.44	5408.6	6482	0	4
2026-03-02	09:30:00	5408.6	5411.71	5402.16	5403.03	5715	0	4
2026-03-02	09:45:00	5402.88	5414.48	5402.46	5408.12	5387	0	4
2026-03-02	10:00:00	5408.12	5413.08	5402.61	5409.67	6396	0	4
2026-03-02	10:15:00	5409.67	5416.13	5402.27	5415.77	5210	0	4
2026-03-02	10:30:00	5415.77	5416.74	5396.47	5401.91	5786	0	4
2026-03-02	10:45:00	5401.91	5411.13	5391.14	5394.07	5516	0	4
2026-03-02	11:00:00	5394.07	5400.14	5389.62	5394.71	6594	0	4
2026-03-02	11:15:00	5394.71	5398.74	5386.1	5394.7	4617	0	4
2026-03-02	11:30:00	5394.7	5402.82	5394.25	5396.72	4355	0	4
2026-03-02	11:45:00	5396.72	5397.37	5387.29	5392.09	5398	0	4
2026-03-02	12:00:00	5392.18	5394.56	5379.2	5390.42	6005	0	4
2026-03-02	12:15:00	5390.46	5392.45	5383.69	5390.09	4342	0	4
2026-03-02	12:30:00	5390.09	5400.81	5387.04	5400.4	5252	0	4
2026-03-02	12:45:00	5400.4	5400.87	5381.57	5389.45	4770	0	4
2026-03-02	13:00:00	5389.45	5394.83	5382.37	5388.6	3879	0	4
2026-03-02	13:15:00	5388.6	5397.19	5387.65	5390.46	4290	0	4
2026-03-02	13:30:00	5390.46	5399.98	5388.98	5389.2	3824	0	4
2026-03-02	13:45:00	5389.2	5389.9	5375.51	5385.39	7166	0	4
2026-03-02	14:00:00	5385.33	5398.44	5378.88	5391.51	7273	0	4
2026-03-02	14:15:00	5391.52	5396.04	5384.77	5394.04	5169	0	4
2026-03-02	14:30:00	5394.04	5398.78	5388.79	5396.58	4567	0	4
2026-03-02	14:45:00	5396.55	5398.54	5385.56	5397.21	4976	0	4
2026-03-02	15:00:00	5397.21	5410.15	5382.07	5384.3	11697	0	4
2026-03-02	15:15:00	5384.3	5409.32	5382.61	5401.66	10721	0	4
2026-03-02	15:30:00	5401.74	5416.72	5392.32	5393.1	10594	0	4
2026-03-02	15:45:00	5393.1	5398.33	5389.42	5393.94	8497	0	4
2026-03-02	16:00:00	5393.94	5395.27	5363.59	5375.4	11338	0	4
2026-03-02	16:15:00	5375.4	5376.87	5307.27	5333.64	15813	0	4
2026-03-02	16:30:00	5333.6	5355.96	5306.94	5347.65	17978	0	4
2026-03-02	16:45:00	5347.65	5351.56	5320.95	5333.6	16343	0	4
2026-03-02	17:00:00	5333.6	5346.88	5311.29	5333.76	16725	0	4
2026-03-02	17:15:00	5333.76	5339.11	5317.59	5331.02	15094	0	4
2026-03-02	17:30:00	5331.01	5348.91	5329.97	5342.25	12313	0	4
2026-03-02	17:45:00	5342.25	5345.13	5308.32	5315.85	14177	0	4
2026-03-02	18:00:00	5315.55	5315.55	5260.77	5300.65	18030	0	4
2026-03-02	18:15:00	5300.65	5314.5	5282.31	5309.91	12775	0	4
2026-03-02	18:30:00	5309.92	5311.84	5282.37	5301.49	12649	0	4
2026-03-02	18:45:00	5301.49	5306.34	5289.55	5290.24	12541	0	4
2026-03-02	19:00:00	5290.24	5309.96	5287.04	5298.64	11672	0	4
2026-03-02	19:15:00	5298.64	5312.23	5292.0	5304.69	9651	0	4
2026-03-02	19:30:00	5304.85	5320.64	5303.42	5304.38	8684	0	4
2026-03-02	19:45:00	5304.38	5311.12	5298.06	5306.86	8970	0	4
2026-03-02	20:00:00	5306.91	5308.36	5289.61	5295.43	8722	0	4
2026-03-02	20:15:00	5295.43	5306.0	5293.84	5297.79	8533	0	4
2026-03-02	20:30:00	5297.79	5303.34	5291.06	5303.32	6094	0	4
2026-03-02	20:45:00	5303.32	5316.7	5302.2	5315.55	6380	0	4
2026-03-02	21:00:00	5315.54	5333.31	5313.88	5330.52	6925	0	4
2026-03-02	21:15:00	5330.61	5332.89	5318.79	5330.86	5532	0	4
2026-03-02	21:30:00	5330.86	5334.07	5324.6	5324.96	4572	0	4
2026-03-02	21:45:00	5324.96	5332.26	5322.92	5330.45	4086	0	4
2026-03-02	22:00:00	5330.45	5346.32	5328.39	5337.47	8241	0	4
2026-03-02	22:15:00	5337.44	5346.37	5328.59	5333.58	9834	0	4
2026-03-02	22:30:00	5333.58	5344.81	5332.31	5342.0	7057	0	4
2026-03-02	22:45:00	5342.0	5342.62	5331.35	5332.55	8464	0	4
2026-03-02	23:00:00	5332.55	5339.68	5331.43	5335.34	3388	0	4
2026-03-02	23:15:00	5335.34	5340.54	5331.23	5332.38	2345	0	4
2026-03-02	23:30:00	5332.31	5332.61	5325.72	5331.11	4591	0	4
2026-03-02	23:45:00	5330.96	5330.96	5320.72	5321.06	1847	0	4
2026-03-03	01:00:00	5321.06	5347.17	5321.06	5338.73	3788	0	4
2026-03-03	01:15:00	5338.73	5341.86	5329.38	5336.76	2562	0	4
2026-03-03	01:30:00	5336.76	5336.91	5330.53	5330.91	2744	0	4
2026-03-03	01:45:00	5330.92	5346.74	5330.28	5346.02	4265	0	4
2026-03-03	02:00:00	5346.02	5349.73	5336.95	5348.53	4013	0	4
2026-03-03	02:15:00	5348.53	5359.12	5348.23	5357.98	4705	0	4
2026-03-03	02:30:00	5357.98	5362.19	5348.36	5355.04	4707	0	4
2026-03-03	02:45:00	5355.05	5359.41	5346.6	5350.32	5261	0	4
2026-03-03	03:00:00	5350.32	5372.13	5347.23	5368.28	9429	0	4
2026-03-03	03:15:00	5368.28	5379.88	5365.86	5377.3	7473	0	4
2026-03-03	03:30:00	5377.31	5378.74	5364.17	5364.17	7543	0	4
2026-03-03	03:45:00	5363.19	5365.43	5337.97	5339.35	11865	0	4
2026-03-03	04:00:00	5339.35	5357.19	5333.06	5350.01	10930	0	4
2026-03-03	04:15:00	5350.02	5359.57	5344.31	5359.01	8244	0	4
2026-03-03	04:30:00	5359.03	5365.35	5355.59	5360.97	7947	0	4
2026-03-03	04:45:00	5360.97	5368.09	5359.02	5366.91	6340	0	4
2026-03-03	05:00:00	5366.91	5371.6	5365.04	5366.79	6048	0	4
2026-03-03	05:15:00	5366.85	5373.57	5364.27	5367.4	6202	0	4
2026-03-03	05:30:00	5367.42	5370.74	5365.49	5369.16	4525	0	4
2026-03-03	05:45:00	5369.16	5369.89	5359.18	5367.28	4438	0	4
2026-03-03	06:00:00	5367.3	5367.88	5359.48	5361.73	3983	0	4
2026-03-03	06:15:00	5361.73	5375.6	5359.82	5371.95	4793	0	4
2026-03-03	06:30:00	5371.95	5375.46	5367.33	5369.64	4324	0	4
2026-03-03	06:45:00	5369.63	5370.2	5361.02	5361.22	5307	0	4
2026-03-03	07:00:00	5361.23	5367.28	5355.07	5362.29	7118	0	4
2026-03-03	07:15:00	5362.29	5364.25	5352.95	5358.86	5769	0	4
2026-03-03	07:30:00	5358.86	5359.56	5334.43	5345.42	10668	0	4
2026-03-03	07:45:00	5345.42	5346.86	5305.41	5319.19	13462	0	4
2026-03-03	08:00:00	5319.17	5323.09	5278.99	5289.88	12993	0	4
2026-03-03	08:15:00	5289.88	5319.61	5288.21	5316.82	10527	0	4
2026-03-03	08:30:00	5316.75	5319.31	5295.84	5310.4	10262	0	4
2026-03-03	08:45:00	5310.4	5315.41	5290.89	5310.65	9552	0	4
2026-03-03	09:00:00	5310.66	5318.55	5306.05	5314.95	6666	0	4
2026-03-03	09:15:00	5314.93	5320.14	5310.3	5313.51	5765	0	4
2026-03-03	09:30:00	5313.51	5328.47	5313.51	5326.57	6381	0	4
2026-03-03	09:45:00	5326.57	5331.23	5323.65	5327.77	6745	0	4
2026-03-03	10:00:00	5327.77	5335.93	5319.93	5319.93	8030	0	4
2026-03-03	10:15:00	5319.97	5328.68	5310.97	5312.21	7595	0	4
2026-03-03	10:30:00	5312.34	5313.48	5296.0	5305.19	8804	0	4
2026-03-03	10:45:00	5305.19	5311.47	5290.33	5295.82	8678	0	4
2026-03-03	11:00:00	5295.82	5303.92	5284.49	5296.31	11090	0	4
2026-03-03	11:15:00	5296.31	5302.65	5226.29	5242.24	13431	0	4
2026-03-03	11:30:00	5242.34	5270.94	5240.63	5263.99	12641	0	4
2026-03-03	11:45:00	5264.03	5280.96	5259.84	5275.08	10093	0	4
2026-03-03	12:00:00	5275.08	5288.13	5269.01	5273.1	9008	0	4
2026-03-03	12:15:00	5273.1	5281.32	5265.75	5276.82	7818	0	4
